pr_url,affected_modules,total,major,minor,patch,other,invalid_semver
https://github.com/streamnative/kop/pull/1253,11,504,71,176,115,0,142
https://github.com/matsim-org/matsim-libs/pull/1291,38,200,20,168,6,0,6
https://github.com/nosqlbench/nosqlbench/pull/1353,40,1401,442,415,298,2,244
https://github.com/langchain4j/langchain4j/pull/1508,46,335,25,142,18,0,150
https://github.com/langchain4j/langchain4j/pull/1645,48,311,25,142,19,7,118
https://github.com/spring-cloud/spring-cloud-stream/pull/2489,4,20,0,5,13,0,2
https://github.com/alibaba/nacos/pull/10170,27,31,4,27,0,0,0
https://github.com/WesJD/AnvilGUI/pull/343,10,202,58,112,32,0,0
https://github.com/WesJD/AnvilGUI/pull/222,3,57,6,42,9,0,0
https://github.com/quarkusio/quarkus/pull/19632,8,34,7,12,12,0,3
https://github.com/quarkusio/quarkus/pull/7393,8,52,8,26,16,0,2
https://github.com/quarkusio/quarkus/pull/14025,9,37,3,1,30,0,3
https://github.com/jenkinsci/github-checks-plugin/pull/26,1,115,19,42,16,2,36
https://github.com/apache/skywalking/pull/6759,222,2405,261,770,608,15,751
https://github.com/apache/flink-cdc/pull/3784,45,1233,138,509,359,0,227
https://github.com/apache/dolphinscheduler/pull/14561,111,659,346,153,60,0,100
https://github.com/linagora/james-project/pull/2612,131,1203,309,418,231,4,241
https://github.com/stargate/stargate/pull/1253,21,495,112,189,84,17,93
https://github.com/stargate/stargate/pull/1493,23,490,91,204,88,0,107
https://github.com/quarkiverse/quarkus-logging-manager/pull/199,0,0,0,0,0,0,0
https://github.com/Alfresco/alfresco-community-repo/pull/3063,7,234,15,143,71,0,5
https://github.com/alldatacenter/alldata/pull/595,69,1187,137,726,232,0,92
https://github.com/apache/amoro/pull/1612,26,3603,919,2009,543,6,126
https://github.com/apache/amoro/pull/2561,24,2315,465,1361,253,2,234
https://github.com/apache/beam/pull/4653,25,501,2,313,172,0,14
https://github.com/apache/camel-k-runtime/pull/1053,3,3,0,3,0,0,0
https://github.com/apache/camel-quarkus/pull/736,4,10,0,1,8,0,1
https://github.com/apache/hop/pull/4606,295,2775,140,1725,172,0,738
https://github.com/apache/incubator-hugegraph/pull/2339,28,1089,129,589,314,0,57
https://github.com/apache/incubator-seata-samples/pull/173,29,566,73,173,292,0,28
https://github.com/apache/incubator-seata-samples/pull/171,29,566,73,173,292,0,28
https://github.com/apache/inlong/pull/10320,127,2382,279,986,307,27,783
https://github.com/apache/iotdb/pull/9788,26,578,74,89,114,0,301
https://github.com/apache/linkis/pull/1660,115,1652,69,1356,187,3,37
https://github.com/apache/linkis/pull/2356,115,1589,47,1380,134,3,25
https://github.com/apache/paimon/pull/3588,42,2510,278,1559,436,3,234
https://github.com/apache/pulsar/pull/10343,126,1735,71,824,759,0,81
https://github.com/apache/pulsar/pull/2374,63,571,27,374,164,0,6
https://github.com/apache/pulsar/pull/9689,1,5,0,5,0,0,0
https://github.com/apache/pulsar/pull/3000,77,1031,95,660,242,0,34
https://github.com/apache/pulsar/pull/14962,125,1275,56,1032,156,0,31
https://github.com/apache/pulsar/pull/4398,104,1464,126,970,207,0,161
https://github.com/apache/pulsar/pull/7447,130,1806,276,713,722,0,95
https://github.com/apache/pulsar/pull/16775,1,5,0,5,0,0,0
https://github.com/apache/pulsar/pull/1846,59,502,29,315,93,0,65
https://github.com/apache/pulsar/pull/20070,131,694,63,394,119,3,115
https://github.com/apache/pulsar/pull/122,12,89,5,55,20,0,9
https://github.com/apache/pulsar/pull/3957,97,1373,114,902,192,0,165
https://github.com/apache/rocketmq-mqtt/pull/227,5,11,4,7,0,0,0
https://github.com/apache/seatunnel/pull/2589,64,1240,205,735,196,0,104
https://github.com/apache/seatunnel/pull/592,33,2111,238,681,1043,0,149
https://github.com/apache/shardingsphere/pull/7299,8,13,1,2,3,0,7
https://github.com/apache/uniffle/pull/1565,6,103,2,45,56,0,0
