pr_url,affected_modules,total,major,minor,patch,other,invalid_semver
https://github.com/Alfresco/alfresco-community-repo/pull/3063,7,234,15,143,71,0,5
https://github.com/alibaba/nacos/pull/10170,27,31,4,27,0,0,0
https://github.com/alldatacenter/alldata/pull/595,69,1187,137,726,232,0,92
https://github.com/apache/amoro/pull/2561,24,2315,465,1361,253,2,234
https://github.com/apache/beam/pull/4653,25,501,2,313,172,0,14
https://github.com/apache/camel-k-runtime/pull/1053,3,3,0,3,0,0,0
https://github.com/apache/camel-quarkus/pull/736,4,10,0,1,8,0,1
https://github.com/apache/dolphinscheduler/pull/14561,111,659,346,153,60,0,100
https://github.com/apache/hop/pull/4606,295,2775,140,1725,172,0,738
https://github.com/apache/incubator-hugegraph/pull/2339,28,1089,129,589,314,0,57
https://github.com/apache/incubator-seata-samples/pull/171,29,566,73,173,292,0,28
https://github.com/apache/iotdb/pull/9788,26,578,74,89,114,0,301
https://github.com/apache/linkis/pull/2356,115,1589,47,1380,134,3,25
https://github.com/apache/paimon/pull/3588,42,2510,278,1559,436,3,234
https://github.com/apache/pulsar/pull/20070,131,694,63,394,119,3,115
https://github.com/apache/rocketmq-mqtt/pull/227,5,11,4,7,0,0,0
https://github.com/apache/seatunnel/pull/2589,64,1240,205,735,196,0,104
https://github.com/apache/shardingsphere/pull/7299,8,13,1,2,3,0,7
https://github.com/apollographql/federation-jvm/pull/123,1,18,0,15,3,0,0
https://github.com/awslabs/emr-dynamodb-connector/pull/212,7,759,76,308,245,0,130
https://github.com/confluentinc/ksql/pull/10033,23,360,12,236,67,0,45
https://github.com/Consensys/tessera/pull/736,23,131,0,71,60,0,0
https://github.com/eclipse-hawkbit/hawkbit/pull/158,11,20,0,14,0,0,6
https://github.com/eclipse-sw360/sw360/pull/459,46,267,0,168,99,0,0
https://github.com/elastic/apm-agent-java/pull/1312,77,357,34,201,87,0,35
https://github.com/finos/legend-engine/pull/30,1,1,0,1,0,0,0
https://github.com/GeyserMC/Geyser/pull/1242,4,41,19,7,11,0,4
https://github.com/google/caliper/pull/421,4,6,0,0,6,0,0
https://github.com/googleapis/java-bigtable/pull/941,1,1,0,1,0,0,0
https://github.com/googleapis/java-spanner/pull/105,1,2,0,1,1,0,0
https://github.com/googleapis/java-storage/pull/2680,2,5,0,0,5,0,0
https://github.com/GoogleCloudPlatform/cloud-spanner-r2dbc/pull/541,1,2,1,0,1,0,0
https://github.com/GoogleCloudPlatform/DataflowTemplates/pull/1838,71,19362,2402,9762,5096,0,2102
https://github.com/GoogleCloudPlatform/spring-cloud-gcp/pull/3146,183,723,348,191,183,1,0
https://github.com/hiero-ledger/hiero-mirror-node/pull/1252,5,57,9,45,0,1,2
https://github.com/hortonworks/streamline/pull/338,17,703,100,504,97,0,2
https://github.com/JanusGraph/janusgraph/pull/3764,1,1,0,0,0,0,1
https://github.com/jenkinsci/github-checks-plugin/pull/26,1,115,19,42,16,2,36
https://github.com/jenkinsci/opentelemetry-plugin/pull/293,1,43,15,15,8,0,5
https://github.com/langchain4j/langchain4j/pull/1645,48,311,25,142,19,7,118
https://github.com/linagora/james-project/pull/2612,131,1203,309,418,231,4,241
https://github.com/lucko/BungeeGuard/pull/75,1,4,2,2,0,0,0
https://github.com/matsim-org/matsim-libs/pull/1291,38,200,20,168,6,0,6
https://github.com/nosqlbench/nosqlbench/pull/2082,46,1713,580,510,370,1,252
https://github.com/OpenAPITools/openapi-generator/pull/7102,6,208,78,67,63,0,0
https://github.com/open-feature/java-sdk/pull/173,1,24,4,5,9,6,0
https://github.com/OpenIdentityPlatform/OpenAM/pull/633,88,985,120,336,521,0,8
https://github.com/openmessaging/benchmark/pull/392,18,476,11,171,92,0,202
https://github.com/opentracing-contrib/java-specialagent/pull/47,18,117,19,74,21,0,3
https://github.com/openzipkin/zipkin-gcp/pull/72,4,10,1,9,0,0,0
https://github.com/PaladinCloud/CE/pull/341,15,562,151,274,108,0,29
https://github.com/powsybl/powsybl-core/pull/1471,61,337,1,63,213,0,60
https://github.com/prebid/prebid-server-java/pull/1476,1,60,3,26,5,0,26
https://github.com/quarkusio/quarkus/pull/14025,9,37,3,1,30,0,3
https://github.com/skuzzle/restrict-imports-enforcer-rule/pull/37,1,10,3,2,0,5,0
https://github.com/sofastack/sofa-jraft/pull/1073,6,8,0,5,0,0,3
https://github.com/spring-cloud/spring-cloud-stream/pull/2489,4,20,0,5,13,0,2
https://github.com/stargate/stargate/pull/1493,23,490,91,204,88,0,107
https://github.com/StarRocks/starrocks-connector-for-apache-flink/pull/163,1,17,3,7,7,0,0
https://github.com/streamnative/aop/pull/520,4,1181,164,502,263,0,252
https://github.com/streamnative/kop/pull/1253,11,504,71,176,115,0,142
https://github.com/streamnative/mop/pull/1406,3,853,86,420,94,0,253
https://github.com/Tencent/spring-cloud-tencent/pull/284,29,427,0,59,368,0,0
https://github.com/thingsboard/thingsboard/pull/5027,23,1590,116,638,380,0,456
https://github.com/TuxCoding/ChangeSkin/pull/238,3,9,5,3,1,0,0
https://github.com/TuxCoding/FastLogin/pull/659,1,11,6,4,1,0,0
https://github.com/USCDataScience/sparkler/pull/77,4,224,10,75,139,0,0
https://github.com/vaadin/flow/pull/17379,82,1701,926,519,112,0,144
https://github.com/vaadin/hilla/pull/2640,23,74,17,23,6,0,28
https://github.com/VanRoy/spring-data-jest/pull/56,4,45,2,16,11,12,4
https://github.com/WeiYe-Jing/datax-web/pull/287,0,0,0,0,0,0,0
https://github.com/WesJD/AnvilGUI/pull/343,10,202,58,112,32,0,0
